"energy","liveness","speechiness","acousticness","instrumentalness","danceability","valence","uri"
0.605,0.113,0.0304,0.553,0.817,0.574,0.513,"spotify:track:1e0TO5xRZrYiqxuxNFxxdx"
0.7,0.112,0.0326,0.788,0.829,0.605,0.492,"spotify:track:7aSPgpoOyzHTazgX0Rge3a"
0.907,0.272,0.0394,0.398,0.895,0.407,0.366,"spotify:track:7d05zul48D47GkzEUpA9D2"
0.687,0.142,0.0251,0.275,0.946,0.38,0.392,"spotify:track:5Bq0lyZvfGl1JmEIJvDXTt"
0.309,0.144,0.038,0.0348,0.786,0.607,0.0828,"spotify:track:1tTF7zYrOv3I8iiBDwRD82"
0.614,0.107,0.0412,0.845,0.923,0.697,0.701,"spotify:track:7BokNARDIPgFoNPGeZinY3"
0.284,0.12,0.0767,0.382,0.569,0.518,0.152,"spotify:track:4MO5aRBZxnbFgNYanMRKlE"
0.83,0.056,0.0446,0.306,0.0656,0.578,0.543,"spotify:track:1xqeXAH8YgJsGcUYVdIjhl"
0.136,0.311,0.0362,0.722,0.909,0.142,0.0495,"spotify:track:5H1MVcElNau4Odi2inVcsL"
0.102,0.192,0.0374,0.111,0.955,0.138,0.0341,"spotify:track:0ArFvYL7Kj9FwJdjjCs0Fl"
0.01,0.148,0.0367,0.842,0.97,0.248,0.0381,"spotify:track:4hPFuA3y7EA4hdmnSNuK5A"
0.24,0.0571,0.452,0.947,0.000246,0.584,0.847,"spotify:track:1bPE89lgHHGqyrZEjTm3Xo"
0.0301,0.203,0.0419,0.967,0.0642,0.0906,0.0356,"spotify:track:0jzqTb61D0L4D90Fk1j0XL"
0.0115,0.0852,0.0412,0.972,0.662,0.241,0.0373,"spotify:track:6BEkaQDf8HOBD8woRzSmIH"
0.308,0.385,0.0765,0.396,0.813,0.181,0.0362,"spotify:track:5j88egIxPmPOwOIiPKisWl"
0.0412,0.103,0.0393,0.859,0.903,0.161,0.0751,"spotify:track:5STHdwONXZ4Bn28HcUVbey"
0.117,0.692,0.0412,0.929,0.909,0.165,0.0365,"spotify:track:6a1HCgaisv3CMMEHZoXZ9z"
0.0991,0.152,0.0433,0.821,0.881,0.0802,0.0345,"spotify:track:3mpy58tyFuOPKZULzjcyLV"
0.148,0.318,0.0374,0.801,0.926,0.0809,0.0349,"spotify:track:4XBjG0TN3iK2WKmz71GsmH"
0.257,0.0766,0.0429,0.787,0.909,0.14,0.0366,"spotify:track:4Dax86RGUhE5xUEJokVTCd"
0.475,0.105,0.0463,0.721,0.881,0.0769,0.0759,"spotify:track:4yLkZxgXOF3GQoKBJZqpdF"
0.0907,0.125,0.0405,0.895,0.953,0.164,0.0304,"spotify:track:1ap3LLqOYv35dSA0KqJ0z4"
0.0237,0.207,0.0475,0.921,0.958,0.0616,0.0296,"spotify:track:58W4bm4C19IltlW3Vbf8Ce"
0.116,0.117,0.0385,0.946,0.567,0.0881,0.125,"spotify:track:5z89FzQzTQOwSJFlMp6UFd"
0.0355,0.187,0.0394,0.915,0.862,0.137,0.0341,"spotify:track:6BqK2H7CNTghFsMt1DWcBw"
0.0713,0.249,0.0389,0.885,0.781,0.0964,0.0384,"spotify:track:7xfkBYjnfhGdzPEeHdAHQb"
0.0308,0.428,0.04,0.958,0.957,0.157,0.0312,"spotify:track:3oJFlRfVPq7IZcj2hsO3H4"
0.024,0.104,0.0451,0.95,0.929,0.0836,0.032,"spotify:track:7e3ROxgIM9zUpyHrh5C3ze"
0.178,0.109,0.0349,0.742,0.925,0.184,0.0367,"spotify:track:6KJqVA0KLjTpzryUSoVyB9"
0.213,0.0706,0.0352,0.892,0.886,0.144,0.0395,"spotify:track:06i8jXHTFCssO0Luc5p0XL"
0.148,0.105,0.0384,0.619,0.942,0.0607,0.0344,"spotify:track:3pweoIyahl0KMMYx3z6MkS"
0.503,0.215,0.0497,0.347,0.913,0.302,0.0445,"spotify:track:3TEXHAUX18eNBP1LlfyNc9"
0.145,0.209,0.0404,0.801,0.893,0.156,0.0329,"spotify:track:51Om1IzCnoRv1gLJSwQdkm"
0.0256,0.0775,0.0403,0.887,0.902,0.155,0.0625,"spotify:track:7BAo5sR1yLe4Y3JZx8sqyO"
0.646,0.194,0.0485,0.12,0.968,0.181,0.0419,"spotify:track:3TFg1PZDcPnEe2FjK0fZ4s"
0.331,0.116,0.0359,0.76,0.891,0.149,0.0404,"spotify:track:42sJ8y5Z3lUkmWFRdUUaUI"
0.266,0.0759,0.0574,0.859,0.942,0.0666,0.0343,"spotify:track:2uPbwhEKHfLJR3NSjnGrsc"
0.399,0.0799,0.0501,0.473,0.959,0.175,0.0664,"spotify:track:2pSMjadGmWcUbIF5eqLUxE"
0.309,0.103,0.0346,0.865,0.8,0.124,0.094,"spotify:track:2hsKAP8pln6O956m6Ma10p"
0.421,0.0723,0.0414,0.396,0.896,0.161,0.469,"spotify:track:1GDe3zCFr5wvrXpqmGIfVb"
0.406,0.135,0.0383,0.371,0.835,0.17,0.138,"spotify:track:06rwgbUFu3xgl88xxv1Hpx"
0.0832,0.208,0.0366,0.314,0.962,0.218,0.0692,"spotify:track:1U5wqqEATmbCpSqADvSqy9"
0.445,0.078,0.0397,0.239,0.697,0.274,0.0896,"spotify:track:5pCbQRv0DBbFzOUk4ZBpFu"
0.0102,0.0951,0.0505,0.977,0.994,0.107,0.0316,"spotify:track:0dlAN15Cr7eIOqhqtFjfHV"
0.0307,0.0898,0.0372,0.949,0.82,0.144,0.0364,"spotify:track:3STYntspHbnCB1KQHEgNAl"
